class,chi2,df,p_value,stationary
trees,31.884610938305443,50,0.9785017163365678,True
grass,0.2135788515462189,50,1.0,True
crops,10.503804867716104,50,0.9999999995700647,True
shrub,4.436316112159131,50,1.0,True
built,9.374555420755287,50,0.999999999957116,True
bare,1.0793029388850863,50,1.0,True
