class,mean,std,cv
trees,0.8341644903712802,0.13319527966245778,0.1596750775175932
grass,0.27100174403863786,0.20180024782650344,0.744645568767011
crops,0.892106677777598,0.03789885473849428,0.04248242467247001
shrub,0.5104309816656944,0.14827539455327787,0.2904905851706127
built,0.9742944359077333,0.014594493771038773,0.014979551594627894
bare,0.24375284093675206,0.07832662120147846,0.321336239202243
