,trees,grass,crops,shrub,built,bare
trees,0.8341644903712804,0.000871735434613608,0.08582852365583636,0.024521265883561332,0.04963579013244225,0.004978194522266099
grass,0.023055646650465708,0.27100174403863786,0.40634979033750707,0.14115261513752356,0.11745788736737542,0.04098231646849049
crops,0.034207931244366475,0.0011589214312408387,0.892106677777598,0.011345869000423281,0.054649124029805075,0.006531476516566406
shrub,0.18777701404268998,0.003923876699527891,0.17602317215705596,0.5104309816656946,0.0987624946943958,0.02308246074063597
built,0.012416667567076774,0.0002235100175528887,0.008320801522954925,0.002518331921882313,0.9742944359077332,0.002226253062799843
bare,0.29075534798640623,0.005480170438558652,0.27594403006709384,0.07965810009084046,0.1044095104803487,0.243752840936752
